Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime
Cats & Dogs,2001,93385515,107301977,200687492,"['Action', 'Comedy', 'Family', 'Fantasy']",1 hr 27 min
Two Weeks Notice,2002,93354851,105688620,199043471,"['Comedy', 'Romance']",1 hr 41 min
Red Dragon,2002,93149898,116046400,209196298,"['Crime', 'Drama', 'Thriller']",2 hr 4 min
Elysium,2013,93050117,193090583,286140700,"['Action', 'Drama', 'Sci-Fi']",1 hr 49 min
Flubber,1997,92977226,85000000,177977226,"['Comedy', 'Family', 'Sci-Fi']",1 hr 33 min
Encanto,2021,92661715,123560300,216222015,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",1 hr 42 min
The Town,2010,92186262,61839874,154026136,"['Crime', 'Drama', 'Thriller']",2 hr 5 min
Non-Stop,2014,92168600,130641000,222809600,"['Action', 'Mystery', 'Thriller']",1 hr 46 min
The Client,1994,92115211,25500000,117615211,"['Crime', 'Drama', 'Mystery', 'Thriller']",1 hr 59 min
Blade Runner 2049,2017,92054159,167280389,259334548,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",2 hr 44 min
John Wick: Chapter 2,2017,92029184,79518618,171547802,"['Action', 'Crime', 'Thriller']",2 hr 2 min
Star Trek: First Contact,1996,92027888,54000000,146027888,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",1 hr 51 min
Halloween Kills,2021,92002155,39645000,131647155,"['Horror', 'Thriller']",1 hr 45 min
Think Like a Man,2012,91547205,4523302,96070507,"['Comedy', 'Romance']",2 hr 3 min
Kindergarten Cop,1990,91457688,110500000,201957688,"['Action', 'Comedy', 'Crime']",1 hr 51 min
Heaven Is for Real,2014,91443253,10539459,101982712,"['Biography', 'Drama', 'Family']",1 hr 39 min
The Haunting,1999,91411151,85900000,177311151,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",1 hr 53 min
Crimson Tide,1995,91387195,66000000,157387195,"['Action', 'Drama', 'Thriller', 'War']",1 hr 56 min
Ride Along 2,2016,91221830,33386608,124608438,"['Action', 'Comedy', 'Crime']",1 hr 42 min
Stepmom,1998,91137662,68573131,159710793,"['Comedy', 'Drama']",2 hr 5 min
The Imitation Game,2014,91125683,142430025,233555708,"['Biography', 'Drama', 'Thriller', 'War']",1 hr 54 min
Save the Last Dance,2001,91057006,40649803,131706809,"['Drama', 'Music', 'Romance']",1 hr 52 min
The Scorpion King,2002,91047077,89583830,180630907,"['Action', 'Adventure', 'Fantasy']",1 hr 32 min
Prince of Persia: The Sands of Time,2010,90759676,245606000,336365676,"['Action', 'Adventure', 'Fantasy']",1 hr 56 min
Antz,1998,90757863,81000000,171757863,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 23 min
Scary Movie 4,2006,90710620,87552000,178262620,['Comedy'],1 hr 23 min
The Game Plan,2007,90648202,57232341,147880543,"['Comedy', 'Family', 'Sport']",1 hr 50 min
"Me, Myself & Irene",2000,90570999,58700000,149270999,['Comedy'],1 hr 56 min
High School Musical 3: Senior Year,2008,90559416,162349761,252909177,"['Comedy', 'Drama', 'Family', 'Music', 'Musical', 'Romance']",1 hr 52 min
Madea Goes to Jail,2009,90508336,90508336,90508336,"['Comedy', 'Crime', 'Drama']",1 hr 43 min
Space Cowboys,2000,90464773,38419359,128884132,"['Action', 'Adventure', 'Thriller']",2 hr 10 min
Space Jam,1996,90418342,140000000,230418342,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",1 hr 28 min
Get Hard,2015,90411453,21300000,111711453,"['Comedy', 'Crime']",1 hr 40 min
RED,2010,90380162,108626225,199006387,"['Action', 'Comedy', 'Crime', 'Thriller']",1 hr 51 min
Planes,2013,90288712,148970000,239258712,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",1 hr 31 min
"Legally Blonde 2: Red, White & Blonde",2003,90186328,34728514,124914842,['Comedy'],1 hr 35 min
Mystic River,2003,90135191,66460000,156595191,"['Crime', 'Drama', 'Mystery', 'Thriller']",2 hr 18 min
Terminator Genisys,2015,89760956,350842581,440603537,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 6 min
Flightplan,2005,89707299,133680000,223387299,"['Drama', 'Mystery', 'Thriller']",1 hr 38 min
The Emperor's New Groove,2000,89636687,80025000,169661687,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 18 min
The Lone Ranger,2013,89302115,171200000,260502115,"['Action', 'Adventure', 'Western']",2 hr 30 min
Taken 3,2014,89256424,237222717,326479141,"['Action', 'Crime', 'Thriller']",1 hr 48 min
Don't Breathe,2016,89217875,68543127,157761002,"['Crime', 'Horror', 'Thriller']",1 hr 28 min
Scream 3,2000,89143175,72691101,161834276,"['Horror', 'Mystery']",1 hr 56 min
Oblivion,2013,89107235,197061337,286168572,"['Action', 'Adventure', 'Sci-Fi']",2 hr 4 min
The Ugly Truth,2009,88915214,232767386,321682600,"['Comedy', 'Romance']",1 hr 36 min
Percy Jackson & the Olympians: The Lightning Thief,2010,88768303,137728906,226497209,"['Adventure', 'Family', 'Fantasy']",1 hr 58 min
Failure to Launch,2006,88715192,41508966,130224158,"['Comedy', 'Romance']",1 hr 37 min
The Muppets,2011,88631237,76553000,165184237,"['Adventure', 'Comedy', 'Family', 'Musical']",2 hr
Inside Man,2006,88513495,97490096,186003591,"['Crime', 'Drama', 'Mystery', 'Thriller']",2 hr 9 min
Back to the Future Part III,1990,88277583,156800000,245077583,"['Adventure', 'Comedy', 'Sci-Fi', 'Western']",1 hr 58 min
Waterworld,1995,88246220,175972000,264218220,"['Action', 'Adventure', 'Sci-Fi']",2 hr 15 min
Starsky & Hutch,2004,88237754,82030996,170268750,"['Comedy', 'Crime']",1 hr 41 min
Along Came Polly,2004,88097164,90214565,178311729,"['Comedy', 'Romance']",1 hr 30 min
The Hand that Rocks the Cradle,1992,88036683,88036683,88036683,"['Drama', 'Thriller']",1 hr 50 min
Entrapment,1999,87704396,124700000,212404396,"['Action', 'Crime', 'Romance', 'Thriller']",1 hr 53 min
Peter Pan,1953,87404651,87404651,87404651,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical']",1 hr 17 min
Pineapple Express,2008,87341380,14283463,101624843,"['Action', 'Comedy', 'Crime']",1 hr 51 min
Miss Peregrine's Home for Peculiar Children,2016,87242834,209239612,296482446,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",2 hr 7 min
Sisters,2015,87044645,17966408,105011053,['Comedy'],1 hr 58 min
Saw II,2005,87039965,60708540,147748505,"['Horror', 'Mystery']",1 hr 33 min
The Naked Gun 2½: The Smell of Fear,1991,86930411,86930411,86930411,"['Comedy', 'Crime']",1 hr 25 min
The Campaign,2012,86907746,18000000,104907746,['Comedy'],1 hr 25 min
The Accountant,2016,86260045,68900000,155160045,"['Action', 'Thriller']",2 hr 8 min
Dumb and Dumber To,2014,86208010,83629000,169837010,['Comedy'],1 hr 49 min
Cruella,2021,86103234,147171578,233274812,"['Adventure', 'Comedy', 'Crime', 'Drama']",2 hr 14 min
The Emoji Movie,2017,86089513,131687133,217776646,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 26 min
Mean Girls,2004,86058055,44068222,130126277,['Comedy'],1 hr 37 min
Annie,2014,85911262,50942244,136853506,"['Comedy', 'Drama', 'Family', 'Musical']",1 hr 58 min
Alvin and the Chipmunks: The Road Chip,2015,85886987,148911649,234798636,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']",1 hr 32 min
Spy Kids 2: Island of Lost Dreams,2002,85846429,33876929,119723358,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",1 hr 40 min
Alita: Battle Angel,2019,85838210,319142333,404980543,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 2 min
Fury,2014,85817906,126004791,211822697,"['Action', 'Drama', 'War']",2 hr 14 min
Pokémon: The First Movie - Mewtwo Strikes Back,1998,85744662,77900000,163644662,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 36 min
Real Steel,2011,85468508,213800000,299268508,"['Action', 'Drama', 'Sci-Fi', 'Sport']",2 hr 7 min
The SpongeBob SquarePants Movie,2004,85417988,55649139,141067127,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 27 min
Power Rangers,2017,85364450,56972790,142337240,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 4 min
Stripes,1981,85297000,85297000,85297000,"['Comedy', 'War']",1 hr 46 min
Anchorman: The Legend of Ron Burgundy,2004,85288303,5421064,90709367,['Comedy'],1 hr 34 min
Aliens,1986,85160248,45900000,131060248,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 17 min
Open Season,2006,85105259,115706430,200811689,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",1 hr 26 min
Green Book,2018,85080171,236672485,321752656,"['Biography', 'Comedy', 'Drama', 'Music']",2 hr 10 min
The Expendables 2,2012,85028192,229947763,314975955,"['Action', 'Adventure', 'Thriller']",1 hr 43 min
Dangerous Minds,1995,84919401,94600000,179519401,"['Biography', 'Drama']",1 hr 39 min
Paranormal Activity 2,2010,84752907,92759125,177512032,"['Horror', 'Mystery']",1 hr 31 min
Tammy,2014,84525432,15850000,100375432,"['Comedy', 'Romance']",1 hr 37 min
The Santa Clause 3: The Escape Clause,2006,84500122,26268000,110768122,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1 hr 37 min
Ferdinand,2017,84410380,211658819,296069199,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",1 hr 48 min
"Crazy, Stupid, Love.",2011,84351197,60700000,145051197,"['Comedy', 'Drama', 'Romance']",1 hr 58 min
Annabelle,2014,84273813,173305469,257579282,"['Horror', 'Mystery', 'Thriller']",1 hr 39 min
Scooby-Doo 2: Monsters Unleashed,2004,84216833,97000000,181216833,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']",1 hr 33 min
Birds of Prey,2020,84158461,117700000,201858461,"['Action', 'Adventure', 'Comedy', 'Crime']",1 hr 49 min
