Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime
The Lion King,1994,422783777,640828028,1063611805,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",1 hr 28 min
Jurassic World: Fallen Kingdom,2018,417719760,892746536,1310466296,"['Action', 'Adventure', 'Sci-Fi']",2 hr 8 min
Toy Story 3,2010,415004880,651965931,1066970811,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 43 min
Wonder Woman,2017,412815408,410009114,822824522,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']",2 hr 21 min
Iron Man 3,2013,409013994,805797258,1214811252,"['Action', 'Adventure', 'Sci-Fi']",2 hr 10 min
Captain America: Civil War,2016,408084349,745253147,1153337496,"['Action', 'Adventure', 'Sci-Fi']",2 hr 27 min
The Hunger Games,2012,408010692,286384032,694394724,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 22 min
Spider-Man,2002,407022860,418002176,825025036,"['Action', 'Adventure', 'Sci-Fi']",2 hr 1 min
Jumanji: Welcome to the Jungle,2017,404540171,558002774,962542945,"['Action', 'Adventure', 'Comedy', 'Fantasy']",1 hr 59 min
Jurassic Park,1993,404214720,629713583,1033928303,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 7 min
Transformers: Revenge of the Fallen,2009,402111870,434191823,836303693,"['Action', 'Adventure', 'Sci-Fi']",2 hr 29 min
Frozen,2013,400953009,880555091,1281508100,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 42 min
Spider-Man: Far from Home,2019,390532085,741395911,1131927996,"['Action', 'Adventure', 'Sci-Fi']",2 hr 9 min
Guardians of the Galaxy Vol. 2,2017,389813101,473942950,863756051,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",2 hr 16 min
Harry Potter and the Deathly Hallows: Part 2,2011,381409310,960912354,1342321665,"['Adventure', 'Fantasy', 'Mystery']",2 hr 10 min
Finding Nemo,2003,380843261,559509384,940352645,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 40 min
Star Wars: Episode III - Revenge of the Sith,2005,380270577,488119983,868390560,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 20 min
The Lord of the Rings: The Return of the King,2003,377845905,768185007,1146030912,"['Action', 'Adventure', 'Drama', 'Fantasy']",3 hr 21 min
Spider-Man 2,2004,373585825,415390628,788976453,"['Action', 'Adventure', 'Sci-Fi']",2 hr 7 min
The Passion of the Christ,2004,370782930,241271576,612054506,['Drama'],2 hr 7 min
The Secret Life of Pets,2016,368384330,507074301,875458631,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 27 min
Despicable Me 2,2013,368065385,602700620,970766005,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1 hr 38 min
The Jungle Book,2016,364001123,602553806,966554929,"['Adventure', 'Drama', 'Family', 'Fantasy']",1 hr 46 min
Deadpool,2016,363070709,419766082,782836791,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 48 min
Inside Out,2015,356921711,501926308,858848019,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 35 min
Aladdin,2019,355559216,695134737,1050693953,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",2 hr 8 min
Furious 7,2015,353007020,1162334379,1515341399,"['Action', 'Thriller']",2 hr 17 min
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079,"['Action', 'Adventure', 'Sci-Fi']",2 hr 34 min
American Sniper,2014,350126372,197300000,547426372,"['Action', 'Biography', 'Drama', 'War']",2 hr 13 min
The Lord of the Rings: The Two Towers,2002,342551365,604943730,947495095,"['Action', 'Adventure', 'Drama', 'Fantasy']",2 hr 59 min
Zootopia,2016,341268248,682852856,1024121104,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",1 hr 48 min
The Hunger Games: Mockingjay - Part 1,2014,337135885,418220826,755356711,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 3 min
Spider-Man 3,2007,336530303,558453070,894983373,"['Action', 'Adventure', 'Sci-Fi']",2 hr 19 min
Minions,2015,336045770,823398892,1159444662,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1 hr 31 min
Joker,2019,335451311,738968073,1074419384,"['Crime', 'Drama', 'Thriller']",2 hr 2 min
Aquaman,2018,335061807,813424079,1148485886,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 23 min
Spider-Man: Homecoming,2017,334201140,545965784,880166924,"['Action', 'Adventure', 'Sci-Fi']",2 hr 13 min
Alice in Wonderland,2010,334191110,691277106,1025468216,"['Adventure', 'Family', 'Fantasy', 'Mystery']",1 hr 48 min
Guardians of the Galaxy,2014,333718600,439631547,773350147,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",2 hr 1 min
Forrest Gump,1994,330455270,347770863,678226133,"['Drama', 'Romance']",2 hr 22 min
Batman v Superman: Dawn of Justice,2016,330360194,543277334,873637528,"['Action', 'Adventure', 'Sci-Fi']",2 hr 32 min
It,2017,328828874,372967570,701796444,['Horror'],2 hr 15 min
Suicide Squad,2016,325100054,421746840,746846894,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 3 min
Deadpool 2,2018,324591735,461304874,785896609,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 59 min
Shrek the Third,2007,322719944,490647436,813367380,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 33 min
Jumanji: The Next Level,2019,320314960,479744747,800059707,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2 hr 3 min
Transformers,2007,319246193,390463587,709709780,"['Action', 'Adventure', 'Sci-Fi']",2 hr 24 min
Iron Man,2008,319034126,266762121,585796247,"['Action', 'Adventure', 'Sci-Fi']",2 hr 6 min
Harry Potter and the Sorcerer's Stone,2001,318087620,698725454,1016813075,"['Adventure', 'Family', 'Fantasy']",2 hr 32 min
Indiana Jones and the Kingdom of the Crystal Skull,2008,317101119,473552823,790653942,"['Action', 'Adventure']",2 hr 2 min
The Lord of the Rings: The Fellowship of the Ring,2001,315710750,581979322,897690072,"['Action', 'Adventure', 'Drama', 'Fantasy']",2 hr 58 min
Thor: Ragnarok,2017,315058289,538925622,853983911,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",2 hr 10 min
Iron Man 2,2010,312433331,311500000,623933331,"['Action', 'Adventure', 'Sci-Fi']",2 hr 4 min
Star Wars: Episode II - Attack of the Clones,2002,310676740,343103230,653779970,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 22 min
Pirates of the Caribbean: At World's End,2007,309420425,651576067,960996492,"['Action', 'Adventure', 'Fantasy']",2 hr 49 min
Star Wars: Episode VI - Return of the Jedi,1983,309306177,122009457,475106177,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 11 min
Independence Day,1996,306169268,511231623,817400891,"['Action', 'Adventure', 'Sci-Fi']",2 hr 25 min
Pirates of the Caribbean: The Curse of the Black Pearl,2003,305413918,348850097,654264015,"['Action', 'Adventure', 'Fantasy']",2 hr 23 min
Skyfall,2012,304360277,804209222,1108569499,"['Action', 'Adventure', 'Thriller']",2 hr 23 min
The Hobbit: An Unexpected Journey,2012,303003568,714000000,1017003568,"['Adventure', 'Fantasy']",2 hr 49 min
Harry Potter and the Half-Blood Prince,2009,302305431,632148664,934454096,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",2 hr 33 min
The Twilight Saga: Eclipse,2010,300531751,397959596,698491347,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",2 hr 4 min
The Twilight Saga: New Moon,2009,297816253,413209228,711025481,"['Adventure', 'Drama', 'Fantasy', 'Romance']",2 hr 10 min
Harry Potter and the Deathly Hallows: Part 1,2010,296347721,680695761,977043483,"['Adventure', 'Family', 'Fantasy', 'Mystery']",2 hr 26 min
The Sixth Sense,1999,293506292,379300140,672806432,"['Drama', 'Mystery', 'Thriller']",1 hr 47 min
Up,2009,293004164,442094938,735099102,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",1 hr 36 min
Star Wars: Episode V - The Empire Strikes Back,1980,292753960,190685234,538375067,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 4 min
Inception,2010,292576195,544260772,836836967,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 28 min
Harry Potter and the Order of the Phoenix,2007,292353413,649818982,942172396,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",2 hr 18 min
The Twilight Saga: Breaking Dawn - Part 2,2012,292324737,537422917,829747654,"['Adventure', 'Drama', 'Fantasy', 'Romance']",1 hr 55 min
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,291710957,453302158,745013115,"['Adventure', 'Family', 'Fantasy']",2 hr 23 min
Man of Steel,2013,291045518,377000000,668045518,"['Action', 'Adventure', 'Sci-Fi']",2 hr 23 min
"Monsters, Inc.",2001,290642256,289065482,579707738,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 32 min
Harry Potter and the Goblet of Fire,2005,290417905,606260335,896678241,"['Adventure', 'Family', 'Fantasy', 'Mystery']",2 hr 37 min
Home Alone,1990,285761243,190923432,476684675,"['Comedy', 'Family']",1 hr 43 min
The Hunger Games: Mockingjay - Part 2,2015,281723902,376620235,658344137,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 17 min
The Matrix Reloaded,2003,281576461,460271476,741847937,"['Action', 'Sci-Fi']",2 hr 18 min
The Twilight Saga: Breaking Dawn - Part 1,2011,281287133,430918723,712205856,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",1 hr 57 min
Meet the Fockers,2004,279261160,243396776,522657936,"['Comedy', 'Romance']",1 hr 55 min
The Hangover,2009,277322503,191988333,469310836,['Comedy'],1 hr 40 min
Gravity,2013,274092705,449100000,723192705,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",1 hr 31 min
The Grinch,2018,271094731,241474088,512568819,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 25 min
Sing,2016,270448425,363759959,634208384,"['Animation', 'Comedy', 'Family', 'Musical']",1 hr 48 min
Monsters University,2013,268492764,475066881,743559645,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 44 min
Shrek,2001,267665011,220188309,487853320,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 30 min
Despicable Me 3,2017,264624300,770175831,1034800131,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1 hr 29 min
Harry Potter and the Chamber of Secrets,2002,262450136,617152229,879602366,"['Adventure', 'Family', 'Fantasy', 'Mystery']",2 hr 41 min
The Amazing Spider-Man,2012,262030663,495900000,757930663,"['Action', 'Adventure', 'Sci-Fi']",2 hr 16 min
The Incredibles,2004,261441092,370165961,631607053,"['Action', 'Adventure', 'Animation', 'Family']",1 hr 55 min
Jaws,1975,260758300,210653000,471411300,"['Adventure', 'Thriller']",2 hr 4 min
How the Grinch Stole Christmas,2000,260465005,85108027,345573032,"['Comedy', 'Family', 'Fantasy']",1 hr 44 min
Captain America: The Winter Soldier,2014,259766572,454654931,714421503,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 16 min
The Hobbit: The Desolation of Smaug,2013,258366855,700640658,959007513,"['Adventure', 'Fantasy']",2 hr 41 min
The Lego Movie,2014,257760692,210300000,468060692,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 40 min
Star Trek,2009,257730019,127950427,385680446,"['Action', 'Adventure', 'Sci-Fi']",2 hr 7 min
I Am Legend,2007,256393010,329017042,585410052,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",1 hr 41 min
The Blind Side,2009,255959475,53248834,309208309,"['Biography', 'Drama', 'Sport']",2 hr 9 min
The Hobbit: The Battle of the Five Armies,2014,255119788,707063077,962182865,"['Adventure', 'Fantasy']",2 hr 24 min
The Hangover Part II,2011,254464305,332300000,586764305,['Comedy'],1 hr 42 min
Despicable Me,2010,251513985,291600000,543113985,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1 hr 35 min
Batman,1989,251348343,160160000,411508343,"['Action', 'Adventure']",2 hr 6 min
Night at the Museum,2006,250863268,323617961,574481229,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1 hr 48 min
Men in Black,1997,250690539,338700000,589390539,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 38 min
Harry Potter and the Prisoner of Azkaban,2004,249975996,547385621,797361618,"['Adventure', 'Family', 'Fantasy', 'Mystery']",2 hr 22 min
Moana,2016,248757044,395379444,644136488,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 47 min
Indiana Jones and the Raiders of the Lost Ark,1981,248159971,141766000,389925971,"['Action', 'Adventure']",1 hr 55 min
Toy Story 2,1999,245852179,251523202,497375381,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 32 min
Transformers: Age of Extinction,2014,245439076,858614996,1104054072,"['Action', 'Adventure', 'Sci-Fi']",2 hr 45 min
Cars,2006,244082982,217908885,461991867,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",1 hr 57 min
Ghostbusters,1984,243578797,53000000,296578797,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",1 hr 45 min
Bruce Almighty,2003,242829261,241763613,484592874,"['Comedy', 'Fantasy']",1 hr 41 min
Twister,1996,241721524,252750000,494471524,"['Action', 'Adventure', 'Thriller']",1 hr 53 min
My Big Fat Greek Wedding,2002,241438208,127305836,368744044,"['Comedy', 'Drama', 'Romance']",1 hr 35 min
Maleficent,2014,241410378,517001401,758411779,"['Adventure', 'Family', 'Fantasy', 'Romance']",1 hr 37 min
Pirates of the Caribbean: On Stranger Tides,2011,241071802,804642000,1045713802,"['Action', 'Adventure', 'Fantasy']",2 hr 17 min
Shrek Forever After,2010,238736787,513864080,752600867,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 33 min
Fast & Furious 6,2013,238679850,550001118,788680968,"['Action', 'Crime', 'Thriller']",2 hr 10 min
Brave,2012,237283207,301700000,538983207,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 33 min
Oz the Great and Powerful,2013,234911825,258400000,493311825,"['Adventure', 'Family', 'Fantasy']",2 hr 10 min
X-Men: The Last Stand,2006,234362462,226072829,460435291,"['Action', 'Adventure', 'Sci-Fi']",1 hr 44 min
War of the Worlds,2005,234280354,369592765,603873119,"['Action', 'Adventure', 'Sci-Fi']",1 hr 56 min
Fantastic Beasts and Where to Find Them,2016,234037575,580006426,814044001,"['Adventure', 'Family', 'Fantasy']",2 hr 12 min
X-Men: Days of Future Past,2014,233921534,512124166,746045700,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 12 min
Cast Away,2000,233632142,196000000,429632142,"['Adventure', 'Drama', 'Romance']",2 hr 23 min
The Exorcist,1973,232906145,136017945,441306145,['Horror'],2 hr 2 min
Doctor Strange,2016,232641920,445154156,677796076,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1 hr 55 min
The Lost World: Jurassic Park,1997,229086679,389552320,618638999,"['Action', 'Adventure', 'Sci-Fi']",2 hr 9 min
Justice League,2017,229024295,428902692,657926987,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr
Star Trek Into Darkness,2013,228778661,238586585,467365246,"['Action', 'Adventure', 'Sci-Fi']",2 hr 12 min
The Martian,2015,228433663,401728785,630162448,"['Adventure', 'Drama', 'Sci-Fi']",2 hr 24 min
Signs,2002,227966634,180281283,408247917,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",1 hr 46 min
Hancock,2008,227946274,401497154,629443428,"['Action', 'Drama', 'Fantasy']",1 hr 32 min
The Bourne Ultimatum,2007,227471070,216628965,444100035,"['Action', 'Mystery', 'Thriller']",1 hr 55 min
Logan,2017,226277068,392902882,619179950,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",2 hr 17 min
Rush Hour 2,2001,226164286,121161516,347325802,"['Action', 'Comedy', 'Crime', 'Thriller']",1 hr 30 min
The Fate of the Furious,2017,226008385,1009996733,1236005118,"['Action', 'Crime', 'Thriller']",2 hr 16 min
Shang-Chi and the Legend of the Ten Rings,2021,224543292,207689718,432233010,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 12 min
WALL·E,2008,223808164,297503726,521311890,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",1 hr 38 min
Big Hero 6,2014,222527828,435341858,657869686,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",1 hr 42 min
Mission: Impossible - Fallout,2018,220159104,571498294,791657398,"['Action', 'Adventure', 'Thriller']",2 hr 27 min
National Treasure: Book of Secrets,2007,219964115,239278134,459242249,"['Action', 'Adventure', 'Mystery', 'Thriller']",2 hr 4 min
Alvin and the Chipmunks: The Squeakquel,2009,219614612,223525393,443140005,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",1 hr 28 min
Mrs. Doubtfire,1993,219195243,222090952,441286195,"['Comedy', 'Drama', 'Family']",2 hr 5 min
Beauty and the Beast,1991,218967620,186043788,424967620,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",1 hr 24 min
Ted,2012,218815487,330552828,549368315,['Comedy'],1 hr 46 min
King Kong,2005,218080025,338826353,556906378,"['Action', 'Adventure', 'Drama', 'Romance']",3 hr 7 min
Ghost,1990,217631306,288072251,505703557,"['Drama', 'Fantasy', 'Romance', 'Thriller']",2 hr 7 min
How to Train Your Dragon,2010,217581231,277298240,494879471,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 38 min
The Da Vinci Code,2006,217536138,542470807,760006945,"['Mystery', 'Thriller']",2 hr 29 min
Aladdin,1992,217350219,286700000,504050219,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",1 hr 30 min
Alvin and the Chipmunks,2007,217326974,148025572,365352546,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",1 hr 32 min
Saving Private Ryan,1998,217049603,265300000,482349603,"['Drama', 'War']",2 hr 49 min
Bohemian Rhapsody,2018,216668042,694141269,910809311,"['Biography', 'Drama', 'Music']",2 hr 14 min
Ant-Man and the Wasp,2018,216648740,406025399,622674139,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 58 min
Madagascar 3: Europe's Most Wanted,2012,216391482,530529792,746921274,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 35 min
Kung Fu Panda,2008,215434591,416311606,631746197,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 32 min
Mission: Impossible II,2000,215409889,330978219,546388108,"['Action', 'Adventure', 'Thriller']",2 hr 3 min
A Star Is Born,2018,215288866,220900000,436188866,"['Drama', 'Music', 'Romance']",2 hr 16 min
X2: X-Men United,2003,214949694,192761855,407711549,"['Action', 'Sci-Fi', 'Thriller']",2 hr 14 min
The Lorax,2012,214030500,134809816,348840316,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",1 hr 26 min
Solo: A Star Wars Story,2018,213767512,179157295,392924807,"['Action', 'Adventure', 'Sci-Fi']",2 hr 15 min
Venom,2018,213515506,642569645,856085151,"['Action', 'Adventure', 'Sci-Fi']",1 hr 52 min
Austin Powers in Goldmember,2002,213307889,83630912,296938801,"['Action', 'Adventure', 'Comedy', 'Crime']",1 hr 34 min
Venom: Let There Be Carnage,2021,212638437,288500000,501138437,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1 hr 37 min
It Chapter Two,2019,211593228,261500000,473093228,"['Drama', 'Fantasy', 'Horror']",2 hr 49 min
Back to the Future,1985,211406762,170500000,381906762,"['Adventure', 'Comedy', 'Sci-Fi']",1 hr 56 min
300,2006,210614939,245453242,456068181,"['Action', 'Drama']",1 hr 57 min
Coco,2017,210460015,597357873,807817888,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Mystery']",1 hr 45 min
Fast Five,2011,209837675,416300000,626137675,"['Action', 'Crime', 'Thriller']",2 hr 10 min
Mission: Impossible - Ghost Protocol,2011,209397903,485315477,694713380,"['Action', 'Adventure', 'Thriller']",2 hr 12 min
Wedding Crashers,2005,209255921,79211724,288467645,"['Comedy', 'Romance']",1 hr 59 min
Sherlock Holmes,2009,209028679,315000000,524028679,"['Action', 'Adventure', 'Mystery']",2 hr 8 min
Dawn of the Planet of the Apes,2014,208545589,502098977,710644566,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",2 hr 10 min
Batman Begins,2005,206852432,166809514,373661946,"['Action', 'Crime', 'Drama']",2 hr 20 min
Charlie and the Chocolate Factory,2005,206459076,268509687,474968763,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 55 min
Ratatouille,2007,206445654,417280431,623726085,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 51 min
Thor: The Dark World,2013,206362140,438421000,644783140,"['Action', 'Adventure', 'Fantasy']",1 hr 52 min
Bad Boys for Life,2020,206305244,220200000,426505244,"['Action', 'Comedy', 'Crime', 'Thriller']",2 hr 4 min
Austin Powers: The Spy Who Shagged Me,1999,206040086,105976842,312016928,"['Action', 'Adventure', 'Comedy', 'Crime']",1 hr 35 min
Terminator 2: Judgment Day,1991,205881154,312106698,520881154,"['Action', 'Sci-Fi']",2 hr 17 min
The Amazing Spider-Man 2,2014,202853933,506128390,708982323,"['Action', 'Adventure', 'Sci-Fi']",2 hr 22 min
World War Z,2013,202807711,337648165,540455876,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",1 hr 56 min
The Mummy Returns,2001,202019785,241261119,443280904,"['Action', 'Adventure', 'Fantasy', 'Thriller']",2 hr 10 min
Armageddon,1998,201578182,352131606,553709788,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 31 min
Cinderella,2015,201151353,341206978,542358331,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']",1 hr 45 min
Ralph Breaks the Internet,2018,201091711,328232251,529323962,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 52 min
Tangled,2010,200821936,391640880,592462816,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",1 hr 40 min
Godzilla,2014,200676069,324300000,524976069,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 3 min
Superman Returns,2006,200081192,191000000,391081192,"['Action', 'Adventure', 'Sci-Fi']",2 hr 34 min
Spectre,2015,200074609,680606910,880681519,"['Action', 'Adventure', 'Thriller']",2 hr 28 min
Pearl Harbor,2001,198542554,250678391,449220945,"['Action', 'Drama', 'History', 'Romance', 'War']",3 hr 3 min
Monsters vs. Aliens,2009,198351526,183158344,381509870,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 34 min
Happy Feet,2006,198000317,186335791,384336108,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",1 hr 48 min
Indiana Jones and the Last Crusade,1989,197171806,277000000,474171806,"['Action', 'Adventure']",2 hr 7 min
Ice Age: Dawn of the Dinosaurs,2009,196573705,690113112,886686817,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 34 min
Ice Age: The Meltdown,2006,195330621,471763885,667094506,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 31 min
Mission: Impossible - Rogue Nation,2015,195042377,487674259,682716636,"['Action', 'Adventure', 'Thriller']",2 hr 11 min
Twilight,2008,193962473,214467942,408430415,"['Drama', 'Fantasy', 'Romance']",2 hr 2 min
Men in Black II,2002,193735288,251400000,445135288,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']",1 hr 28 min
Madagascar,2005,193595521,348468325,542063846,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 26 min
22 Jump Street,2014,191719337,139614539,331333876,"['Action', 'Comedy', 'Crime']",1 hr 52 min
Cars 2,2011,191452396,368400000,559852396,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",1 hr 46 min
Teenage Mutant Ninja Turtles,2014,191204754,293800000,485004754,"['Action', 'Adventure', 'Animation', 'Comedy', 'Sci-Fi']",1 hr 41 min
Spider-Man: Into the Spider-Verse,2018,190241310,185299521,375540831,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 57 min
Grease,1978,190071103,206200000,396271103,"['Comedy', 'Musical', 'Romance']",1 hr 50 min
Dunkirk,2017,189740665,337275642,527016307,"['Action', 'Drama', 'History', 'Thriller', 'War']",1 hr 46 min
Wreck-It Ralph,2012,189422889,281800000,471222889,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 41 min
A Quiet Place,2018,188024361,152928610,340952971,"['Drama', 'Horror', 'Sci-Fi']",1 hr 30 min
Interstellar,2014,188020017,513709189,701729206,"['Adventure', 'Drama', 'Sci-Fi']",2 hr 49 min
The Polar Express,2004,187935490,126279964,314215454,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",1 hr 40 min
Gladiator,2000,187705427,277675375,465380802,"['Action', 'Adventure', 'Drama']",2 hr 35 min
The Croods,2013,187168425,400067558,587235983,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 38 min
Sherlock Holmes: A Game of Shadows,2011,186848418,357000000,543848418,"['Action', 'Adventure', 'Mystery']",2 hr 9 min
The Day After Tomorrow,2004,186740799,365898772,552639571,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 4 min
Mr. & Mrs. Smith,2005,186336279,300951367,487287646,"['Action', 'Comedy', 'Crime', 'Thriller']",2 hr
Snow White and the Seven Dwarfs,1937,184925486,184925486,184925486,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",1 hr 23 min
Pitch Perfect 2,2015,184296230,102847849,287144079,"['Comedy', 'Music']",1 hr 55 min
Dances with Wolves,1990,184208848,240000000,424208848,"['Adventure', 'Drama', 'Western']",3 hr 1 min
Batman Forever,1995,184069126,152498032,336567158,"['Action', 'Adventure']",2 hr 1 min
The Fugitive,1993,183875760,185000000,368875760,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",2 hr 10 min
Black Widow,2021,183651655,195979696,379631351,"['Action', 'Adventure', 'Sci-Fi']",2 hr 14 min
The Revenant,2015,183637894,349312609,532950503,"['Action', 'Adventure', 'Drama', 'History', 'Western']",2 hr 36 min
Ocean's Eleven,2001,183417150,267300000,450717150,"['Crime', 'Thriller']",1 hr 56 min
The Simpsons Movie,2007,183135014,353279279,536414293,"['Adventure', 'Animation', 'Comedy']",1 hr 27 min
What Women Want,2000,182811707,191300000,374111707,"['Comedy', 'Fantasy', 'Romance']",2 hr 7 min
The Perfect Storm,2000,182618434,146100000,328718434,"['Action', 'Adventure', 'Drama', 'Thriller']",2 hr 10 min
Lincoln,2012,182207973,93085477,275293450,"['Biography', 'Drama', 'History', 'War']",2 hr 30 min
